NEWS_TYPE,BEDROOM_NUMBER,BATH_ROOM_NUMBER,AREA,APARTMENT_TYPE,FURNITURE_TYPE,PRICE,LATITUDE,LONGITUDE
 môi giới ,1.0,1.0,48.0,chung cư thường,full,7.0,21.032723,105.7984797
 môi giới ,3.0,2.0,115.0,chung cư thường,full cao cấp,14.0,20.9997728,105.8145324
 môi giới ,2.0,2.0,65.0,chung cư thường,full,7.0,21.0164183,105.94484409999998
 môi giới ,2.0,2.0,70.0,chung cư thường,full,13.0,21.022996399999997,105.79280279999999
 cá nhân ,1.0,1.0,25.0,chung cư thường,full,5.0,21.042773800000003,105.8401496
 môi giới ,2.0,1.0,54.0,chung cư thường,unk,6.0,21.0004684,105.7623624
 môi giới ,1.0,1.0,45.0,chung cư thường,unk,7.0,21.0193823,105.82741599999999
 môi giới ,3.0,2.0,100.0,chung cư thường,cơ bản,9.5,21.030710100000004,105.7766821
 môi giới ,2.0,1.0,55.0,chung cư tập thể,unk,6.0,21.022873,105.81499170000001
 môi giới ,1.0,1.0,30.0,chung cư mini,full,3.0,20.988178,105.7931515
 môi giới ,1.0,1.0,25.0,chung cư mini,full,3.8,21.032723,105.7984797
 cá nhân ,3.0,2.0,109.0,chung cư thường,unk,11.0,20.993482399999998,105.8063835
 môi giới ,3.0,2.0,75.0,chung cư thường,nguyên bản,4.0,21.0004684,105.7623624
 môi giới ,2.0,2.0,98.0,chung cư thường,full,8.0,20.9948398,105.86263980000001
 cá nhân ,2.0,1.0,55.0,chung cư mini,unk,6.2,20.9830938,105.8129692
 môi giới ,1.0,1.0,25.0,chung cư thường,nguyên bản,3.2,20.980121899999997,105.80261200000001
 môi giới ,2.0,2.0,68.0,chung cư thường,full cao cấp,10.0,21.031007000000002,105.75989750000001
 môi giới ,1.0,1.0,35.0,chung cư studio,full,4.5,21.0004684,105.7623624
 môi giới ,2.0,2.0,75.0,chung cư thường,unk,11.0,20.9841802,105.8084522
 môi giới ,1.0,1.0,40.0,chung cư mini,full,4.2,21.037697199999997,105.79890990000001
 cá nhân ,2.0,2.0,70.0,chung cư thường,cơ bản,9.5,21.0084108,105.8014449
 môi giới ,2.0,2.0,76.0,chung cư thường,full cao cấp,14.5,21.0174168,105.7820991
 cá nhân ,2.0,1.0,80.0,chung cư thường,unk,6.0,21.0022646,105.8227453
 cá nhân ,1.0,1.0,32.0,chung cư thường,unk,4.0,21.0049221,105.78263429999998
 môi giới ,1.0,1.0,30.0,chung cư mini,full,3.0,21.0206944,105.86290600000001
 cá nhân ,2.0,2.0,78.0,chung cư thường,full,15.0,21.055584,105.8084368
 môi giới ,1.0,1.0,20.0,chung cư mini,full,3.5,21.029157,105.83510109999999
 cá nhân ,2.0,2.0,80.0,chung cư thường,full cao cấp,14.0,21.0442326,105.7673186
 môi giới ,1.0,1.0,25.0,chung cư mini,full cao cấp,3.9,21.0093579,105.7976247
 môi giới ,1.0,1.0,30.0,chung cư thường,unk,4.9,21.019231,105.853881
 môi giới ,2.0,2.0,80.0,chung cư thường,full cao cấp,11.0,21.0349188,105.76439750000002
 môi giới ,1.0,1.0,35.0,chung cư mini,full,6.5,21.0217949,105.8243471
 cá nhân ,1.0,1.0,28.0,chung cư thường,full,3.0,21.013986499999998,105.7971098
 cá nhân ,2.0,1.0,60.0,chung cư tập thể,full,7.3,21.0012748,105.8393044
 cá nhân ,1.0,1.0,20.0,chung cư thường,unk,2.0,20.9828413,105.8121513
 cá nhân ,2.0,1.0,40.0,chung cư tập thể,unk,3.5,21.005197600000002,105.83551640000002
 môi giới ,1.0,1.0,25.0,chung cư mini,full,2.6,21.0133287,105.80207309999999
 môi giới ,1.0,1.0,40.0,chung cư thường,full,8.0,21.0180002,105.7821755
 môi giới ,2.0,2.0,54.0,chung cư thường,full cao cấp,5.0,21.0052252,105.736722
 môi giới ,1.0,1.0,45.0,chung cư thường,full,3.9,20.988253699999998,105.79883729999999
 môi giới ,3.0,2.0,120.0,chung cư thường,cơ bản,12.0,21.0342555,105.78200670000001
 môi giới ,2.0,2.0,98.0,chung cư thường,cơ bản,10.0,20.999531,105.8074389
 môi giới ,3.0,2.0,88.0,chung cư thường,full,11.0,20.957895800000003,105.84306540000001
 môi giới ,2.0,1.0,54.0,chung cư thường,nguyên bản,6.5,21.0004684,105.7623624
 môi giới ,2.0,2.0,75.0,chung cư thường,nguyên bản,14.0,21.0220868,105.8237926
 môi giới ,2.0,1.0,68.0,chung cư thường,cơ bản,11.0,21.0105633,105.7994223
 môi giới ,3.0,2.0,95.0,chung cư thường,cơ bản,12.0,21.035113600000003,105.76946650000001
 môi giới ,3.0,2.0,90.0,chung cư thường,unk,12.0,21.0042496,105.80338390000001
 môi giới ,2.0,2.0,85.0,chung cư thường,full,10.0,21.0303441,105.7616398
 môi giới ,1.0,1.0,40.0,chung cư thường,full,10.0,21.0105633,105.7994223
 môi giới ,2.0,2.0,80.0,chung cư thường,unk,11.0,21.0326497,105.7701703
 môi giới ,1.0,1.0,35.0,chung cư thường,full,3.4,21.051230899999997,105.7381135
 môi giới ,3.0,2.0,95.0,chung cư thường,full,11.5,21.030908,105.7771856
 môi giới ,1.0,1.0,35.0,chung cư thường,full,2.5,21.0193284,105.80146090000002
 môi giới ,2.0,2.0,70.0,chung cư thường,full,7.0,20.9599379,105.83375459999999
 môi giới ,1.0,1.0,50.0,chung cư thường,unk,6.0,21.0376771,105.7976502
 môi giới ,1.0,1.0,40.0,chung cư studio,full,5.5,21.0211462,105.77557900000001
 môi giới ,2.0,2.0,68.0,chung cư thường,full,5.5,21.062786399999997,105.90830559999999
 môi giới ,2.0,1.0,30.0,chung cư thường,full,5.3,21.001255399999998,105.81374070000001
 môi giới ,2.0,2.0,50.0,chung cư thường,full,7.5,20.9971504,105.82169109999998
 môi giới ,1.0,1.0,35.0,chung cư studio,full cao cấp,6.0,21.0180002,105.7821755
 môi giới ,3.0,2.0,117.0,chung cư thường,cơ bản,14.5,21.034464,105.795604
 cá nhân ,3.0,2.0,135.0,chung cư thường,full,8.0,21.031083600000002,105.7745675
 môi giới ,3.0,2.0,100.0,chung cư thường,unk,8.0,20.989526100000003,105.86547709999999
 cá nhân ,2.0,1.0,55.0,chung cư thường,unk,8.2,21.0187786,105.79900249999999
 cá nhân ,1.0,1.0,25.0,chung cư mini,full,3.46,21.0200466,105.77814679999999
 môi giới ,3.0,3.0,90.0,chung cư thường,full,15.0,21.0371784,105.8730678
 môi giới ,2.0,1.0,70.0,chung cư tập thể,unk,5.0,20.9981973,105.8127529
 môi giới ,2.0,2.0,75.0,chung cư thường,full,8.0,20.9942444,105.8567243
 môi giới ,2.0,2.0,65.0,chung cư thường,cơ bản,8.0,21.031007000000002,105.75989750000001
 môi giới ,3.0,2.0,110.0,chung cư thường,cơ bản,11.0,21.0021832,105.82011370000001
 môi giới ,3.0,2.0,106.0,chung cư thường,cơ bản,13.0,21.035113600000003,105.76946650000001
 môi giới ,1.0,1.0,38.0,chung cư mini,full,5.2,20.9995402,105.8207756
 cá nhân ,2.0,,40.0,chung cư mini,full,5.0,21.011833399999997,105.80536200000002
 môi giới ,3.0,2.0,104.0,chung cư thường,cơ bản,11.5,21.085260199999997,105.816961
 cá nhân ,1.0,1.0,27.0,chung cư mini,full,3.0,21.0036206,105.8110679
 môi giới ,1.0,,25.0,chung cư mini,full,3.5,21.0108744,105.7998
 môi giới ,2.0,2.0,64.0,chung cư thường,full,7.5,20.9791557,105.7855763
 môi giới ,2.0,2.0,105.0,chung cư thường,full,9.9,21.003004100000002,105.83599029999999
 môi giới ,1.0,1.0,38.0,chung cư mini,unk,4.8,20.9971504,105.82169109999998
 môi giới ,2.0,2.0,70.0,chung cư thường,cơ bản,8.0,20.974842499999998,105.7770977
 môi giới ,1.0,1.0,25.0,chung cư mini,full,3.0,20.9997275,105.8485897
 môi giới ,2.0,2.0,80.0,chung cư thường,cơ bản,8.5,10.7747808,106.66427240000002
 cá nhân ,2.0,1.0,60.0,chung cư thường,full,7.0,21.0017869,105.80740449999999
 cá nhân ,2.0,3.0,70.0,chung cư thường,full cao cấp,15.0,21.0188359,105.8413875
 cá nhân ,2.0,1.0,42.0,chung cư thường,unk,3.5,20.990526100000004,105.7996081
 môi giới ,2.0,1.0,55.0,chung cư thường,full cao cấp,8.5,21.0004684,105.7623624
 môi giới ,1.0,1.0,46.0,chung cư studio,full,2.5,21.0164183,105.94484409999998
 cá nhân ,1.0,1.0,20.0,chung cư thường,full,2.5,21.0121265,105.80159040000001
 cá nhân ,1.0,1.0,30.0,chung cư mini,unk,3.0,20.9677236,105.87180649999999
 cá nhân ,2.0,1.0,45.2,chung cư thường,full,8.5,21.0405026,105.8158784
 cá nhân ,1.0,1.0,20.0,chung cư thường,unk,2.2,20.9960238,105.8511476
 môi giới ,2.0,2.0,105.0,chung cư thường,full cao cấp,15.0,20.993629100000003,105.80592240000001
 môi giới ,1.0,1.0,25.0,chung cư thường,full,3.0,21.01426,105.80396259999999
 cá nhân ,1.0,1.0,70.0,chung cư mini,unk,4.5,20.996251899999997,105.85557299999999
 môi giới ,3.0,2.0,85.0,chung cư thường,full,8.0,20.9646872,105.86851740000002
 môi giới ,3.0,2.0,105.0,chung cư thường,full cao cấp,15.0,20.9935065,105.8317399
 cá nhân ,2.0,2.0,75.0,chung cư thường,full,12.0,21.002932100000002,105.79970279999999
 môi giới ,1.0,1.0,37.0,chung cư thường,full,7.5,21.046151899999998,105.9156477
 cá nhân ,2.0,2.0,84.0,chung cư thường,cơ bản,6.0,20.961172899999998,105.7952825
 môi giới ,2.0,1.0,60.0,chung cư thường,full,3.0,21.0164183,105.94484409999998
 môi giới ,1.0,1.0,45.0,chung cư thường,full,7.0,21.0227782,105.8433928
 môi giới ,1.0,1.0,50.0,chung cư studio,unk,6.5,21.0455392,105.84087439999999
 cá nhân ,2.0,2.0,70.0,chung cư thường,full,7.0,21.022160600000003,105.771796
 cá nhân ,1.0,1.0,25.0,chung cư mini,full,2.6,20.983257899999998,105.87634320000001
 môi giới ,1.0,1.0,30.0,chung cư studio,full cao cấp,5.0,21.0041237,105.78195690000001
 môi giới ,1.0,1.0,35.0,chung cư mini,full cao cấp,4.0,21.0478137,105.79749879999999
 cá nhân ,2.0,1.0,40.0,chung cư thường,unk,3.5,21.0433936,105.77737309999999
 cá nhân ,2.0,2.0,68.0,chung cư thường,full,7.5,20.9599379,105.83375459999999
 môi giới ,1.0,1.0,25.0,chung cư thường,full,2.0,20.9590745,105.8429511
 môi giới ,4.0,3.0,182.0,chung cư thường,full,14.0,21.030228899999997,105.77657279999998
 môi giới ,1.0,1.0,40.0,chung cư mini,full,5.5,21.0105633,105.7994223
 môi giới ,2.0,1.0,30.0,chung cư mini,unk,3.5,21.0376138,105.764027
 môi giới ,1.0,1.0,25.0,chung cư mini,cơ bản,3.6,21.0105633,105.7994223
 môi giới ,2.0,1.0,80.0,chung cư thường,full cao cấp,12.0,21.036819,105.7808467
 môi giới ,1.0,1.0,27.0,chung cư mini,unk,3.8,21.0008727,105.82892140000001
 môi giới ,1.0,1.0,53.0,chung cư thường,unk,10.0,20.9982638,105.86736670000002
 môi giới ,1.0,1.0,28.0,chung cư thường,unk,4.0,21.031792000000003,105.7884835
 môi giới ,2.0,2.0,100.0,chung cư thường,cơ bản,17.0,21.0360603,105.8062057
 môi giới ,3.0,2.0,110.0,chung cư thường,full,14.0,21.0704366,105.80889520000001
 môi giới ,3.0,2.0,100.0,chung cư thường,full,13.0,20.982858399999998,105.7813337
 môi giới ,3.0,2.0,100.0,chung cư thường,nguyên bản,12.0,21.0442326,105.7673186
 môi giới ,3.0,2.0,115.0,chung cư thường,full cao cấp,18.0,20.993629100000003,105.80592240000001
 môi giới ,1.0,1.0,30.0,chung cư thường,full,3.7,21.0111024,105.8089638
 môi giới ,1.0,1.0,38.0,chung cư thường,full,6.5,20.9970028,105.8244869
 môi giới ,1.0,1.0,45.0,chung cư thường,full,8.0,21.0538868,105.78761750000001
 môi giới ,1.0,1.0,45.0,chung cư thường,cơ bản,5.5,21.0041237,105.78195690000001
 môi giới ,2.0,1.0,70.0,chung cư tập thể,full,8.0,21.0270609,105.8194896
 môi giới ,2.0,2.0,70.0,chung cư thường,full cao cấp,11.0,21.016127800000003,105.7926129
 cá nhân ,1.0,1.0,35.0,chung cư mini,full,5.5,21.0113075,105.805031
 môi giới ,1.0,1.0,30.0,chung cư studio,full cao cấp,4.5,21.0164183,105.94484409999998
 môi giới ,2.0,1.0,50.0,chung cư thường,full,6.5,20.990307,105.813723
 cá nhân ,3.0,2.0,100.0,chung cư thường,unk,12.0,20.957895800000003,105.84306540000001
 cá nhân ,3.0,,30.0,chung cư thường,unk,2.3,20.964047100000002,105.74937079999998
 môi giới ,1.0,1.0,30.0,chung cư thường,full cao cấp,4.0,21.0136381,105.79988329999999
 cá nhân ,3.0,1.0,65.0,chung cư thường,full,5.6,21.056632500000003,105.87710430000001
 cá nhân ,3.0,2.0,136.0,chung cư thường,full cao cấp,23.0,20.9995575,105.8145753
 môi giới ,1.0,1.0,28.0,chung cư studio,full,3.5,21.0713471,105.79329440000001
 môi giới ,4.0,3.0,110.0,chung cư thường,full cao cấp,14.5,21.0303441,105.7616398
 cá nhân ,2.0,2.0,55.0,chung cư thường,full,4.5,20.9558682,105.80628090000002
 cá nhân ,3.0,2.0,94.0,chung cư thường,unk,7.5,21.077988100000002,105.78690859999999
 môi giới ,1.0,1.0,45.0,chung cư thường,full,6.0,21.0333173,105.7752115
 môi giới ,2.0,2.0,80.0,chung cư thường,full cao cấp,9.0,21.085260199999997,105.816961
 môi giới ,3.0,2.0,112.0,chung cư thường,full cao cấp,18.0,21.0105633,105.7994223
 môi giới ,2.0,2.0,80.0,chung cư thường,full cao cấp,11.0,21.056024800000003,105.7967419
 môi giới ,1.0,1.0,45.0,chung cư tập thể,full,7.5,21.0261772,105.8578473
 môi giới ,2.0,2.0,95.0,chung cư thường,full,9.0,21.0215526,105.78788670000002
 môi giới ,2.0,2.0,70.0,chung cư thường,full,13.0,21.070573100000004,105.81175
 môi giới ,3.0,2.0,106.0,chung cư thường,cơ bản,13.0,21.035113600000003,105.76946650000001
 môi giới ,2.0,2.0,82.0,chung cư thường,full,9.0,21.085260199999997,105.816961
 cá nhân ,3.0,2.0,92.0,chung cư tập thể,full,6.0,20.9749347,105.7808936
 môi giới ,2.0,2.0,90.0,chung cư thường,full,9.5,21.0289833,105.82976370000002
 môi giới ,2.0,2.0,85.0,chung cư thường,full cao cấp,11.0,21.0349188,105.76439750000002
 môi giới ,1.0,1.0,30.0,chung cư studio,full cao cấp,6.0,21.0004684,105.7623624
 môi giới ,2.0,2.0,65.0,chung cư thường,full,4.5,20.963829800000003,105.83186359999999
 môi giới ,2.0,2.0,87.0,chung cư thường,full cao cấp,8.5,20.976305899999996,105.84857360000001
 môi giới ,2.0,2.0,75.0,chung cư thường,cơ bản,4.8,20.9602233,105.80002759999998
 cá nhân ,2.0,2.0,68.0,chung cư thường,full,15.0,21.0042501,105.8695696
 môi giới ,2.0,2.0,65.0,chung cư thường,full,7.0,21.0004684,105.7623624
 môi giới ,2.0,2.0,60.0,chung cư thường,full,7.0,21.002737699999997,105.8574772
 môi giới ,2.0,2.0,90.0,chung cư thường,full,8.5,20.9837203,105.84553999999999
 môi giới ,2.0,2.0,74.0,chung cư thường,full,22.0,21.0320552,105.8140835
 môi giới ,1.0,1.0,35.0,chung cư studio,full,7.0,21.070573100000004,105.81175
 môi giới ,1.0,1.0,30.0,chung cư studio,full,3.5,20.972307,105.7955793
 cá nhân ,1.0,1.0,20.0,chung cư thường,full,2.5,21.0179009,105.86435520000002
 môi giới ,1.0,1.0,45.0,chung cư thường,full,3.5,20.975846,105.77660690000002
 môi giới ,1.0,1.0,35.0,chung cư thường,full,6.5,21.075688,105.82470259999998
 cá nhân ,1.0,1.0,55.0,chung cư thường,unk,11.0,20.9922803,105.8684028
 môi giới ,2.0,2.0,72.0,chung cư thường,unk,11.0,21.0042496,105.80338390000001
 cá nhân ,1.0,1.0,70.0,chung cư thường,full,10.0,21.080249300000002,105.81839270000002
 môi giới ,2.0,2.0,55.0,chung cư thường,full,9.0,10.731846,106.67290290000001
 môi giới ,2.0,1.0,75.0,chung cư tập thể,unk,8.0,21.023374399999998,105.81989809999999
 cá nhân ,2.0,1.0,68.0,chung cư thường,full,6.5,20.9956952,105.83985049999998
 môi giới ,2.0,2.0,65.0,chung cư thường,full,9.0,20.996388800000002,105.8619924
 môi giới ,1.0,1.0,30.0,chung cư thường,unk,6.0,21.0516835,105.81129080000001
 cá nhân ,2.0,2.0,75.0,chung cư thường,unk,5.0,20.9696807,105.82825
 môi giới ,1.0,1.0,45.0,chung cư thường,full cao cấp,7.0,21.0478137,105.79749879999999
 cá nhân ,2.0,1.0,71.0,chung cư thường,unk,5.0,20.9839285,105.8583738
 môi giới ,2.0,1.0,70.0,chung cư tập thể,full,7.99,21.0270609,105.8194896
 môi giới ,1.0,1.0,60.0,chung cư tập thể,nguyên bản,5.5,20.9950028,105.8414585
 môi giới ,1.0,1.0,40.0,chung cư studio,full cao cấp,5.0,21.0551598,105.8366993
 cá nhân ,1.0,1.0,32.0,chung cư thường,full,2.7,21.0282176,105.75747009999999
 cá nhân ,3.0,,80.0,chung cư thường,full,6.0,21.086135600000002,105.78568190000001
 môi giới ,2.0,1.0,60.0,chung cư thường,full,8.5,21.0004684,105.7623624
 môi giới ,1.0,1.0,43.0,chung cư thường,full,7.5,21.0004684,105.7623624
 cá nhân ,2.0,1.0,55.0,chung cư tập thể,cơ bản,7.0,21.0201687,105.81225049999999
 môi giới ,2.0,2.0,72.0,chung cư thường,full,11.0,21.085260199999997,105.816961
 môi giới ,2.0,2.0,90.0,chung cư thường,full,8.5,20.976305899999996,105.84857360000001
 môi giới ,1.0,1.0,25.0,chung cư thường,full,4.5,21.008133800000003,105.84627490000001
 môi giới ,1.0,1.0,42.0,chung cư thường,full cao cấp,4.0,21.0377412,105.80082040000002
 môi giới ,1.0,,30.0,chung cư thường,full,3.5,21.0679188,105.7926212
 cá nhân ,1.0,1.0,45.0,chung cư thường,full,4.5,20.9599379,105.83375459999999
 môi giới ,2.0,2.0,85.0,chung cư thường,cơ bản,12.0,21.0326497,105.7701703
 môi giới ,2.0,2.0,70.0,chung cư thường,full cao cấp,10.5,21.028257,105.790815
 môi giới ,2.0,2.0,85.0,chung cư thường,full,5.5,20.9903367,105.78272369999999
 môi giới ,1.0,1.0,35.0,chung cư tập thể,unk,3.5,21.026951999999998,105.7979572
 môi giới ,1.0,1.0,25.0,chung cư thường,full,3.0,10.7849351,106.6420635
 môi giới ,1.0,1.0,48.0,chung cư thường,full,5.0,21.0164183,105.94484409999998
 môi giới ,2.0,2.0,95.0,chung cư thường,full,11.0,21.0326497,105.7701703
 môi giới ,3.0,2.0,110.0,chung cư thường,full,7.0,21.0322646,105.7652784
 môi giới ,3.0,1.0,120.0,chung cư thường,unk,9.5,21.0183591,105.7937961
 cá nhân ,2.0,1.0,40.0,chung cư thường,full,4.2,20.940835999999997,105.84359189999999
 môi giới ,3.0,2.0,100.0,chung cư thường,full,7.5,21.082717000000002,105.7851
 môi giới ,2.0,2.0,70.0,chung cư thường,full,10.0,21.0004684,105.7623624
 môi giới ,1.0,1.0,27.0,chung cư mini,unk,3.8,21.0232671,105.7946587
 môi giới ,1.0,,25.0,chung cư mini,full,3.5,21.0123362,105.81340159999998
 môi giới ,3.0,2.0,120.0,chung cư thường,unk,9.0,21.0220401,105.79774170000002
 môi giới ,2.0,2.0,80.0,chung cư thường,full,11.0,21.035339999999998,105.82028400000002
 cá nhân ,1.0,1.0,35.0,chung cư thường,full,5.8,21.0272556,105.83269920000001
 môi giới ,1.0,1.0,30.0,chung cư thường,full,2.6,21.0215902,105.79123159999999
 môi giới ,1.0,1.0,50.0,chung cư thường,full,8.0,21.0004684,105.7623624
 môi giới ,3.0,2.0,75.0,chung cư thường,cơ bản,10.5,21.0004684,105.7623624
 cá nhân ,1.0,1.0,30.0,chung cư mini,cơ bản,3.8,20.9845891,105.79958130000001
 môi giới ,1.0,1.0,50.0,chung cư thường,full,6.0,21.0390407,105.84791670000001
 môi giới ,1.0,1.0,48.0,chung cư thường,full,4.8,21.008793700000002,105.7967437
 môi giới ,3.0,2.0,125.0,chung cư thường,unk,18.0,21.0297517,105.77867409999999
 môi giới ,2.0,1.0,45.0,chung cư thường,full,5.0,21.013986499999998,105.7971098
 môi giới ,3.0,2.0,110.0,chung cư thường,unk,13.0,21.035113600000003,105.76946650000001
 môi giới ,3.0,2.0,110.0,chung cư thường,full,15.0,21.0042496,105.80338390000001
 môi giới ,2.0,2.0,95.0,chung cư thường,unk,13.0,21.0198997,105.79622069999999
 môi giới ,3.0,2.0,111.0,chung cư thường,cơ bản,11.0,20.998970899999996,105.80665929999999
 môi giới ,3.0,2.0,115.0,chung cư thường,cơ bản,10.0,21.0569074,105.7842341
 cá nhân ,2.0,1.0,35.0,chung cư thường,full,4.0,21.0908722,105.7880285
 môi giới ,1.0,1.0,25.0,chung cư mini,full,3.2,21.022160600000003,105.771796
 môi giới ,2.0,1.0,60.0,chung cư thường,full,9.5,21.046151899999998,105.9156477
 môi giới ,2.0,2.0,82.0,chung cư thường,full,10.0,21.085260199999997,105.816961
 cá nhân ,1.0,1.0,45.0,chung cư thường,unk,7.5,21.068124800000003,105.8226344
 môi giới ,1.0,1.0,45.0,chung cư thường,unk,8.5,21.0369189,105.79400270000001
 môi giới ,2.0,2.0,70.0,chung cư thường,full cao cấp,9.0,21.085260199999997,105.816961
 môi giới ,2.0,2.0,68.0,chung cư thường,full,9.0,21.046151899999998,105.9156477
 cá nhân ,1.0,1.0,33.0,chung cư thường,nguyên bản,2.5,20.9833181,105.87636529999999
 môi giới ,2.0,1.0,55.0,chung cư mini,full,8.5,21.0213451,105.8331223
 môi giới ,2.0,2.0,65.0,chung cư studio,full,3.0,21.0164183,105.94484409999998
 môi giới ,1.0,1.0,35.0,chung cư mini,full,4.0,21.016108600000003,105.83795
 môi giới ,1.0,1.0,50.0,chung cư thường,full,9.5,21.0314597,105.82265679999999
